,AX,BX,NX,EX,EPX,Element,Length,Value,s(m),AY,BY,NY,EY,EPY,DetR,#,DX,DPX,DY,DPY,BeamSizeXm,BeamSizeYm
LFT37,3.22765,8.0338,0.51756,0.40368,-0.17943,LFT37,1.40012,1.4001171,65.484107,-4.9909,15.2883,1.15967,0.00303,-3.3e-05,2e-10,76.0,0.0013,-0.0005,-0.0015,-0.0005,0.0014533609728083316,0.0019993971380185814
MSDX.2,1.23779,1.78167,0.5779,0.15313,-0.17943,MSDX.2,3.30033,-0.3617,66.884225,-7.3638,32.5865,1.16966,0.0037,-3.3e-05,2e-10,77.0,0.00058,-0.0005,-0.0022,-0.0005,0.0006770317366063303,0.002918878479366784
LFT38,-5.1657,11.291,0.90193,-0.37468,-0.17121,LFT38,1.1,1.0999992,70.184553,6.63212,36.8598,1.18192,0.00153,-0.00121,-5e-09,78.0,-0.001,-0.0006,-0.0024,0.00043,0.001702205441536153,0.003103890729031833
MSFX.2,-7.8629,25.6226,0.91223,-0.5624,-0.17121,MSFX.2,3.30037,0.3617,71.284552,5.28964,23.7458,1.18784,-0.00028,-0.00121,-5e-09,79.0,-0.0016,-0.0006,-0.0019,0.00043,0.0025638216531105595,0.002491098587350508
LFT39,5.04021,42.0515,0.92518,-0.63713,0.12998,LFT39,1.40012,1.4001171,74.58492,-1.4445,14.4248,1.2226,-0.00602,-0.00228,-9e-09,80.0,-0.0022,0.00022,-0.0014,-0.0001,0.0032678088238397357,0.0019427262155782548
SCCELLIN03,4.16109,29.1686,0.93154,-0.45545,0.12998,SCCELLIN03,0.0,0.0,75.985037,-1.7441,18.8894,1.23612,-0.00906,-0.00228,-9e-09,81.0,-0.0019,0.00022,-0.0016,-0.0001,0.002706561095223575,0.0022235716922279396
LFT40,4.16109,29.1686,0.93154,-0.45545,0.12998,LFT40,1.40012,1.4001171,75.985037,-1.7441,18.8894,1.23612,-0.00906,-0.00228,-9e-09,82.0,-0.0019,0.00022,-0.0016,-0.0001,0.002706561095223575,0.0022235716922279396
MSDX.3,3.28197,18.7475,0.94107,-0.27378,0.12998,MSDX.3,3.30033,-0.3617,77.385154,-2.0438,24.1931,1.24655,-0.0121,-0.00228,-9e-09,83.0,-0.0016,0.00022,-0.0017,-0.0001,0.002151585597212669,0.002516812546958345
LFT41,-2.9403,17.9203,0.97616,0.15696,0.1553,LFT41,1.1,1.0999992,80.685483,4.20651,11.5721,1.27204,-0.01221,0.00259,-5e-09,84.0,-0.0018,-0.0003,-0.0011,0.00046,0.002081441143689772,0.0017414176401655053
MSFX.3,-3.5323,25.0402,0.98443,0.32815,0.1553,MSFX.3,3.30037,0.3617,81.785482,2.42947,4.27257,1.29704,-0.00986,0.00259,-5e-09,85.0,-0.0021,-0.0003,-0.0006,0.00046,0.0024889503032261588,0.0010586223381677908
LFT42,4.78918,17.7252,1.00464,0.64121,0.01601,LFT42,1.40012,1.4001171,85.085849,-2.9102,5.43813,1.64067,-0.00769,-0.00027,-2e-09,86.0,-0.0018,0.00048,0.0009,0.00051,0.0021671036609474696,0.001193635567941287
MSXD03,2.89845,6.96166,1.02475,0.66297,0.01601,MSXD03,0.0,0.0,86.485966,-5.3483,17.0012,1.66392,-0.00879,-0.00027,-2e-09,87.0,-0.0012,0.00048,0.0016,0.00051,0.0014103497442018566,0.0021095463889204288
BSND03,2.89845,6.96166,1.02475,0.66297,0.01601,BSND03,0.0,0.0,86.485966,-5.3483,17.0012,1.66392,-0.00879,-0.00027,-2e-09,88.0,-0.0012,0.00048,0.0016,0.00051,0.0014103497442018566,0.0021095463889204288
BSSD03,2.89845,6.96166,1.02475,0.66297,0.01601,BSSD03,0.0,0.0,86.485966,-5.3483,17.0012,1.66392,-0.00879,-0.00027,-2e-09,89.0,-0.0012,0.00048,0.0016,0.00051,0.0014103497442018566,0.0021095463889204288
LFT43,2.89845,6.96166,1.02475,0.66297,0.01601,LFT43,1.40012,1.4001171,86.485966,-5.3483,17.0012,1.66392,-0.00879,-0.00027,-2e-09,90.0,-0.0012,0.00048,0.0016,0.00051,0.0014103497442018566,0.0021095463889204288
MSDX.4,1.00773,1.49254,1.09626,0.68472,0.01601,MSDX.4,3.30033,-0.3617,87.886083,-7.7864,35.3915,1.67301,-0.00989,-0.00027,-2e-09,91.0,-0.0005,0.00048,0.0023,0.00051,0.0007285804369681814,0.0030431210382133615
LFT44,-5.519,12.4146,1.40562,1.28524,0.38277,LFT44,1.1,1.0999992,91.186412,7.20069,38.8069,1.68448,-0.00517,0.00291,-2e-10,92.0,0.0011,0.00057,0.0024,-0.0005,0.001963359824690152,0.0031855380308772265
MSFX.4,-8.3065,27.6227,1.41508,1.70566,0.38277,MSFX.4,3.30037,0.3617,92.286411,5.70264,24.6133,1.69015,-0.00146,0.00291,-2e-10,93.0,0.0017,0.00057,0.0019,-0.0005,0.002886350611233243,0.0025364244194936944
LFT45,5.46991,44.1377,1.42725,1.8792,-0.28756,LFT45,1.01745,1.0174546,95.586779,-1.1566,13.5917,1.72533,0.01007,0.00437,-6e-11,94.0,0.0023,-0.0002,0.0014,8e-05,0.00359317536786505,0.0018866385922575212
ESM11,4.75715,33.7321,1.43144,1.58687,-0.28756,ESM11,0.0,0.0,96.604233,-1.3316,16.1233,1.73628,0.01444,0.00437,-6e-11,95.0,0.002,-0.0002,0.0014,8e-05,0.0031300089011066477,0.002055538236053528
LFT46,4.75715,33.7321,1.43144,1.58687,-0.28756,LFT46,0.38266,0.3826625,96.604233,-1.3316,16.1233,1.73628,0.01444,0.00437,-6e-11,96.0,0.002,-0.0002,0.0014,8e-05,0.0031300089011066477,0.002055538236053528
SSEM11,4.48908,30.1939,1.43335,1.47693,-0.28756,SSEM11,0.0,0.0,96.986896,-1.3974,17.1676,1.73994,0.01608,0.00437,-6e-11,97.0,0.002,-0.0002,0.0015,8e-05,0.002956425023633402,0.002121297479150922
LFT47,4.48908,30.1939,1.43335,1.47693,-0.28756,LFT47,1.40012,1.4001171,96.986896,-1.3974,17.1676,1.73994,0.01608,0.00437,-6e-11,98.0,0.002,-0.0002,0.0015,8e-05,0.002956425023633402,0.002121297479150922
MSDX.5,3.50826,18.9967,1.44266,1.07465,-0.28756,MSDX.5,3.30033,-0.3617,98.387013,-1.6382,21.4179,1.75157,0.02209,0.00437,-6e-11,99.0,0.0016,-0.0002,0.0016,8e-05,0.0023256517826246294,0.0023702045117386726
LFT48,-2.5876,16.7678,1.47872,0.71583,0.04989,LFT48,1.1,1.0999992,101.687341,3.64563,9.70205,1.78121,0.02238,-0.00461,1e-11,100.0,0.0017,0.0003,0.00094,-0.0004,0.002126202025304857,0.001596752973386265
MSFX.5,-3.0924,23.0159,1.48763,0.77038,0.04989,MSFX.5,3.30037,0.3617,102.787341,2.02539,3.46393,1.81159,0.01779,-0.00461,1e-11,101.0,0.002,0.0003,0.00046,-0.0004,0.0024773810003408947,0.000954975861092716
LFT49,4.35636,15.6578,1.51007,0.56339,-0.16323,LFT49,1.40012,1.4001171,106.087708,-3.1934,6.29567,2.1472,0.01268,0.000356,1e-09,102.0,0.0017,-0.0005,-0.001,-0.0005,0.002028948671652635,0.0012851860168507756
SCCELLIN06,2.56994,5.96018,1.53322,0.3355,-0.16323,SCCELLIN06,0.0,0.0,107.487825,-5.6837,18.7247,2.16778,0.01391,0.000356,1e-09,103.0,0.0011,-0.0005,-0.0017,-0.0005,0.001249381933271266,0.002214829766534273
LFT50,2.56994,5.96018,1.53322,0.3355,-0.16323,LFT50,1.40012,1.4001171,107.487825,-5.6837,18.7247,2.16778,0.01391,0.000356,1e-09,104.0,0.0011,-0.0005,-0.0017,-0.0005,0.001249381933271266,0.002214829766534273
MSDX.6,0.78353,1.26492,1.61838,0.10761,-0.16323,MSDX.6,3.30033,-0.3617,108.887942,-8.174,38.1272,2.17613,0.01513,0.000356,1e-09,105.0,0.00044,-0.0005,-0.0024,-0.0005,0.0005661799305626353,0.0031595195900188415
LFT51,-5.8661,13.5695,1.90902,-0.38509,-0.16416,LFT51,1.1,1.0999992,112.188271,7.75199,40.594,2.18693,0.00773,-0.00442,-4e-09,106.0,-0.0011,-0.0006,-0.0025,0.00048,0.001860934504607731,0.0032585487066379283
MSFX.6,-8.7367,29.6327,1.91776,-0.56502,-0.16416,MSFX.6,3.30037,0.3617,113.28827,6.09651,25.3606,2.19239,0.00234,-0.00442,-4e-09,107.0,-0.0018,-0.0006,-0.002,0.00048,0.0027491965646755595,0.002574817222182414
LFT52,5.89841,46.152,1.92925,-0.61956,0.13398,LFT52,1.01745,1.0174546,116.588637,-0.8799,12.7147,2.22823,-0.01472,-0.00648,-9e-09,108.0,-0.0024,0.00026,-0.0013,-5e-05,0.003413840759482463,0.0018257491542089574
ESM12,5.10937,34.952,1.93328,-0.4835,0.13398,ESM12,0.0,0.0,117.606092,-1.0218,14.6496,2.24011,-0.02126,-0.00648,-9e-09,109.0,-0.0021,0.00026,-0.0014,-5e-05,0.0029597426403649087,0.001960846657830387
LFT53,5.10937,34.952,1.93328,-0.4835,0.13398,LFT53,0.38266,0.3826625,117.606092,-1.0218,14.6496,2.24011,-0.02126,-0.00648,-9e-09,110.0,-0.0021,0.00026,-0.0014,-5e-05,0.0029597426403649087,0.001960846657830387
SCCELLIN07,4.81261,31.1553,1.93513,-0.43233,0.13398,SCCELLIN07,0.0,0.0,117.988755,-1.0752,15.4521,2.24416,-0.02372,-0.00648,-9e-09,111.0,-0.002,0.00026,-0.0014,-5e-05,0.002789536150269829,0.0020142142847006336
LFT54,4.81261,31.1553,1.93513,-0.43233,0.13398,LFT54,1.40012,1.4001171,117.988755,-1.0752,15.4521,2.24416,-0.02372,-0.00648,-9e-09,112.0,-0.002,0.00026,-0.0014,-5e-05,0.002789536150269829,0.0020142142847006336
MSDX.7,3.72681,19.1991,1.94424,-0.2451,0.13398,MSDX.7,3.30033,-0.3617,119.388872,-1.2706,18.7367,2.25727,-0.03272,-0.00648,-9e-09,113.0,-0.0016,0.00026,-0.0015,-5e-05,0.0021709549152196805,0.0022192998777222925
LFT55,-2.2507,15.6256,1.98141,0.22033,0.17436,LFT55,1.1,1.0999992,122.6892,3.10811,8.01357,2.29221,-0.03282,0.00679,-6e-09,114.0,-0.0017,-0.0003,-0.0008,0.00041,0.0019583649948309114,0.0014536688771633968
MSFX.7,-2.6777,21.0469,1.99107,0.41243,0.17436,MSFX.7,3.30037,0.3617,123.789199,1.6448,2.78538,2.32961,-0.02579,0.00679,-6e-09,115.0,-0.002,-0.0003,-0.0004,0.00041,0.0023041881997066175,0.0008583162210099261
LFT56,3.93498,13.7293,2.01615,0.73065,-0.0002,LFT56,1.40012,1.4001171,127.089567,-3.4627,7.19247,2.65287,-0.01712,-0.0002,-2e-09,116.0,-0.0016,0.00045,0.001,0.00052,0.001940520722973977,0.0013743870360600294
MSXD07,2.25394,5.06416,2.043,0.72974,-0.0002,MSXD07,0.0,0.0,128.489684,-5.9915,20.4296,2.67129,-0.01813,-0.0002,-2e-09,117.0,-0.001,0.00045,0.0018,0.00052,0.0012357445148540773,0.0023141845614100013
BSND07,2.25394,5.06416,2.043,0.72974,-0.0002,BSND07,0.0,0.0,128.489684,-5.9915,20.4296,2.67129,-0.01813,-0.0002,-2e-09,118.0,-0.001,0.00045,0.0018,0.00052,0.0012357445148540773,0.0023141845614100013
BSSD07,2.25394,5.06416,2.043,0.72974,-0.0002,BSSD07,0.0,0.0,128.489684,-5.9915,20.4296,2.67129,-0.01813,-0.0002,-2e-09,119.0,-0.001,0.00045,0.0018,0.00052,0.0012357445148540773,0.0023141845614100013
LFT57,2.25394,5.06416,2.043,0.72974,-0.0002,LFT57,1.40012,1.4001171,128.489684,-5.9915,20.4296,2.67129,-0.01813,-0.0002,-2e-09,120.0,-0.001,0.00045,0.0018,0.00052,0.0012357445148540773,0.0023141845614100013
MSDX.8,0.5729,1.10625,2.14374,0.72883,-0.0002,MSDX.8,3.30033,-0.3617,129.889801,-8.5203,40.7479,2.67902,-0.01915,-0.0002,-2e-09,121.0,-0.0004,0.00045,0.0025,0.00052,0.0006551191816474823,0.003267002269079075
LFT58,-6.1966,14.7216,2.41212,1.2933,0.3751,LFT58,1.1,1.0999992,133.19013,8.27444,42.1795,2.68927,-0.00916,0.00568,-4e-10,122.0,0.0012,0.00059,0.0025,-0.0005,0.002116763592296321,0.0033218286419013747
MSFX.8,-9.1405,31.5925,2.42024,1.70526,0.3751,MSFX.8,3.30037,0.3617,134.290129,6.46283,25.9685,2.69456,-0.00235,0.00568,-4e-10,123.0,0.0019,0.00059,0.002,-0.0005,0.003063025383787411,0.002605487119967216
LFT59,6.31875,48.0212,2.43115,1.85858,-0.29095,LFT59,1.40012,1.4001171,137.590496,-0.61813,11.7985,2.73136,0.01989,0.0086,-3e-10,124.0,0.0024,-0.0003,0.0013,2.2e-05,0.00372761060475254,0.001759882666389679
MSXD08,5.12549,31.998,2.43683,1.45161,-0.29095,MSXD08,0.0,0.0,138.990613,-0.78214,13.759,2.74888,0.0319,0.0086,-3e-10,125.0,0.002,-0.0003,0.0013,2.2e-05,0.0030297054325684634,0.0019025676499131977
BSND08,5.12549,31.998,2.43683,1.45161,-0.29095,BSND08,0.0,0.0,138.990613,-0.78214,13.759,2.74888,0.0319,0.0086,-3e-10,126.0,0.002,-0.0003,0.0013,2.2e-05,0.0030297054325684634,0.0019025676499131977
BSSD08,5.12549,31.998,2.43683,1.45161,-0.29095,BSSD08,0.0,0.0,138.990613,-0.78214,13.759,2.74888,0.0319,0.0086,-3e-10,127.0,0.002,-0.0003,0.0013,2.2e-05,0.0030297054325684634,0.0019025676499131977
LFT60,5.12549,31.998,2.43683,1.45161,-0.29095,LFT60,1.40012,1.4001171,138.990613,-0.78214,13.759,2.74888,0.0319,0.0086,-3e-10,128.0,0.002,-0.0003,0.0013,2.2e-05,0.0030297054325684634,0.0019025676499131977
MSDX.9,3.93222,19.3161,2.4458,1.04464,-0.29095,MSDX.9,3.30033,-0.3617,140.39073,-0.94615,16.1788,2.76384,0.0439,0.0086,-3e-10,129.0,0.0016,-0.0003,0.0013,2.2e-05,0.0023373195538447535,0.002064960362053794
LFT61,-1.9236,14.4533,2.48436,0.65268,0.03126,LFT61,1.1,1.0999992,143.691059,2.59998,6.52671,2.80565,0.04361,-0.00915,3e-10,130.0,0.0016,0.00025,0.00066,-0.0004,0.0019716280224808857,0.0013146957313726656
MSFX.9,-2.2814,19.0789,2.49491,0.68678,0.03126,MSFX.9,3.30037,0.3617,144.791058,1.29214,2.24538,2.85204,0.03396,-0.00915,3e-10,131.0,0.0019,0.00025,0.00024,-0.0004,0.0022526375654520906,0.0007727990256743692
LFT62,3.51504,11.8969,2.52324,0.47539,-0.14702,LFT62,1.40012,1.4001171,148.091426,-3.7161,8.12212,3.15787,0.02112,-0.00018,1.7e-09,132.0,0.0015,-0.0004,-0.0011,-0.0005,0.0017654310050092064,0.0014610964723318306
SCCELLIN10,1.94326,4.25464,2.55477,0.27016,-0.14702,SCCELLIN10,0.0,0.0,149.491543,-6.2691,22.1027,3.17453,0.0216,-0.00018,1.7e-09,133.0,0.00092,-0.0004,-0.0019,-0.0005,0.0010529333972805316,0.0024076294638882465
LFT63,1.94326,4.25464,2.55477,0.27016,-0.14702,LFT63,1.40012,1.4001171,149.491543,-6.2691,22.1027,3.17453,0.0216,-0.00018,1.7e-09,134.0,0.00092,-0.0004,-0.0019,-0.0005,0.0010529333972805316,0.0024076294638882465
MSDX.10,0.37149,1.01372,2.67252,0.06493,-0.14702,MSDX.10,3.30033,-0.3617,150.89166,-8.8221,43.2322,3.18175,0.02208,-0.00018,1.7e-09,135.0,0.0003,-0.0004,-0.0026,-0.0005,0.0005005704907370078,0.003365588196079189
LFT64,-6.5151,15.8871,2.91501,-0.39081,-0.15587,LFT64,1.1,1.0999992,154.191988,8.76624,43.5621,3.19154,0.00942,-0.00671,-4e-09,136.0,-0.0013,-0.0006,-0.0026,0.00053,0.0020084156804034982,0.0033758569614059934
MSFX.10,-9.5233,33.5295,2.9226,-0.56161,-0.15587,MSFX.10,3.30037,0.3617,155.291988,6.8005,26.4387,3.1967,0.00146,-0.00671,-4e-09,137.0,-0.0019,-0.0006,-0.002,0.00053,0.002916496277982523,0.0026287868676870287
LFT65,6.73051,49.7841,2.93299,-0.59594,0.13677,LFT65,1.01745,1.0174546,158.592355,-0.37429,10.8604,3.23472,-0.02557,-0.01068,-9e-09,138.0,-0.0025,0.0003,-0.0012,6.3e-06,0.0035361222202979865,0.0016897685147262416
ESM13,5.78427,37.0508,2.93676,-0.45709,0.13677,ESM13,0.0,0.0,159.60981,-0.4811,11.7307,3.24909,-0.03645,-0.01068,-9e-09,139.0,-0.0022,0.0003,-0.0012,6.3e-06,0.0030391674606341673,0.001758145169530818
LFT66,5.78427,37.0508,2.93676,-0.45709,0.13677,LFT66,0.38266,0.3826625,159.60981,-0.4811,11.7307,3.24909,-0.03645,-0.01068,-9e-09,140.0,-0.0022,0.0003,-0.0012,6.3e-06,0.0030391674606341673,0.001758145169530818
SSEM12,5.42839,32.7602,2.93851,-0.40486,0.13677,SSEM12,0.0,0.0,159.992472,-0.52127,12.1143,3.2542,-0.04054,-0.01068,-9e-09,141.0,-0.0021,0.0003,-0.0012,6.3e-06,0.00285279170647559,0.0017873578114792324
LFT67,5.42839,32.7602,2.93851,-0.40486,0.13677,LFT67,1.40012,1.4001171,159.992472,-0.52127,12.1143,3.2542,-0.04054,-0.01068,-9e-09,142.0,-0.0021,0.0003,-0.0012,6.3e-06,0.00285279170647559,0.0017873578114792324
MSDX.11,4.12626,19.3826,2.94736,-0.21379,0.13677,MSDX.11,3.30033,-0.3617,161.392589,-0.66825,13.7798,3.27148,-0.05551,-0.01068,-9e-09,143.0,-0.0017,0.0003,-0.0012,6.3e-06,0.0021748089391653673,0.0019087196727924976
LFT68,-1.6173,13.3087,2.98751,0.28316,0.19254,LFT68,1.1,1.0999992,164.692918,2.12808,5.26043,3.32222,-0.05446,0.01163,-7e-09,144.0,-0.0016,-0.0002,-0.0005,0.00035,0.0018233218654620468,0.0011833501124270313
MSFX.11,-1.9162,17.1958,2.99909,0.4952,0.19254,MSFX.11,3.30037,0.3617,165.792917,0.97198,1.85036,3.37957,-0.04205,0.01163,-7e-09,145.0,-0.0018,-0.0002,-0.0001,0.00035,0.0021072203206847612,0.0007037785290976664
LFT69,3.11308,10.2297,3.03132,0.81706,-0.01636,LFT69,1.40012,1.4001171,169.093284,-3.9497,9.06906,3.66232,-0.02448,0.00079,-3e-09,146.0,-0.0014,0.00043,0.0012,0.00052,0.0017123169451480388,0.0015443546949151816
SCCELLIN12,1.6498,3.56118,3.06858,0.79355,-0.01636,SCCELLIN12,0.0,0.0,170.493401,-6.5125,23.7174,3.67753,-0.0241,0.00079,-3e-09,147.0,-0.0008,0.00043,0.0019,0.00052,0.0010725894958625519,0.002494371155490559
LFT70,1.6498,3.56118,3.06858,0.79355,-0.01636,LFT70,1.40012,1.4001171,170.493401,-6.5125,23.7174,3.67753,-0.0241,0.00079,-3e-09,148.0,-0.0008,0.00043,0.0019,0.00052,0.0010725894958625519,0.002494371155490559
